source,target
Israel Kamakawiwo'ole,Dennis Kamakahi
Israel Kamakawiwo'ole,Keola & Kapono Beamer
Oasis,Liam Gallagher
Oasis,The Verve
Oasis,Blur
Oasis,Noel Gallagher's High Flying Birds
Oasis,The Stone Roses
Oasis,Stereophonics
Oasis,Kasabian
Oasis,Travis
Oasis,Noel Gallagher
Oasis,The Killers
Oasis,Kaiser Chiefs
Oasis,Pulp
Oasis,Keane
Oasis,Franz Ferdinand
Oasis,Radiohead
Oasis,Snow Patrol
Oasis,R.E.M.
Oasis,The Strokes
Oasis,Richard Ashcroft
Oasis,The Kooks
Cyndi Lauper,The Bangles
Cyndi Lauper,Paula Abdul
Cyndi Lauper,Culture Club
Cyndi Lauper,Bonnie Tyler
Cyndi Lauper,Cher
Cyndi Lauper,Belinda Carlisle
Cyndi Lauper,Bananarama
Cyndi Lauper,Eurythmics
Cyndi Lauper,Laura Branigan
Cyndi Lauper,Berlin
Cyndi Lauper,Tina Turner
Cyndi Lauper,Irene Cara
Cyndi Lauper,Boy George
Cyndi Lauper,Sheena Easton
Cyndi Lauper,Debbie Gibson
Cyndi Lauper,Kim Carnes
Cyndi Lauper,Bette Midler
Cyndi Lauper,Wilson Phillips
Cyndi Lauper,Tiffany
Cyndi Lauper,Annie Lennox
Red Hot Chili Peppers,Foo Fighters
Red Hot Chili Peppers,Rage Against The Machine
Red Hot Chili Peppers,Audioslave
Red Hot Chili Peppers,Pearl Jam
Red Hot Chili Peppers,The Smashing Pumpkins
Red Hot Chili Peppers,Nirvana
Red Hot Chili Peppers,Soundgarden
Red Hot Chili Peppers,The Offspring
Red Hot Chili Peppers,Incubus
Red Hot Chili Peppers,Stone Temple Pilots
Red Hot Chili Peppers,Alice In Chains
Red Hot Chili Peppers,Green Day
Red Hot Chili Peppers,Led Zeppelin
Red Hot Chili Peppers,System Of A Down
Red Hot Chili Peppers,Jimi Hendrix
Red Hot Chili Peppers,Queens of the Stone Age
Red Hot Chili Peppers,blink-182
Red Hot Chili Peppers,The White Stripes
Red Hot Chili Peppers,Limp Bizkit
Red Hot Chili Peppers,Aerosmith
Coldplay,OneRepublic
Coldplay,Oasis
Coldplay,Maroon 5
Coldplay,Keane
Coldplay,U2
Coldplay,Imagine Dragons
Coldplay,Snow Patrol
Coldplay,The Chainsmokers
Coldplay,The Script
Coldplay,Calvin Harris
Coldplay,Adele
Coldplay,Avicii
Coldplay,Sia
Coldplay,Bruno Mars
Coldplay,Queen
Coldplay,Sam Smith
Coldplay,Twenty One Pilots
Coldplay,Ed Sheeran
Coldplay,The Killers
Coldplay,David Guetta
Frank Sinatra,Dean Martin
Frank Sinatra,Nat King Cole
Frank Sinatra,Louis Armstrong
Frank Sinatra,Tony Bennett
Frank Sinatra,Sammy Davis Jr.
Frank Sinatra,Ella Fitzgerald
Frank Sinatra,Bobby Darin
Frank Sinatra,Bing Crosby
